#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#sampleId	subjectId	cellLineOrigin
HMCB_SKIN	HMCB	ATCC
HMEL_BREAST	HMEL	Academic Lab / Achilles
HN_UPPER_AERODIGESTIVE_TRACT	HN	DSMZ
HOS_BONE	HOS	ATCC
HPAC_PANCREAS	HPAC	ATCC
HPAFII_PANCREAS	HPAF-II	ATCC
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HPB-ALL	DSMZ
HRT18_LARGE_INTESTINE	HRT-18	ECACC
HS172T_URINARY_TRACT	Hs 172.T	ATCC
HS229T_LUNG	Hs 229.T	ATCC
HS255T_LARGE_INTESTINE	Hs 255.T	ATCC
HS274T_BREAST	Hs 274.T	ATCC
HS281T_BREAST	Hs 281.T	ATCC
HS294T_SKIN	Hs 294T	ATCC
HS343T_BREAST	Hs 343.T	ATCC
HS571T_OVARY	Hs 571.T	ATCC
HS578T_BREAST	Hs 578T	ATCC
HS600T_SKIN	Hs 600.T	ATCC
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 604.T	ATCC
HS606T_BREAST	Hs 606.T	ATCC
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 611.T	ATCC
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 616.T	ATCC
HS618T_LUNG	Hs 618.T	ATCC
HS675T_LARGE_INTESTINE	Hs 675.T	ATCC
HS683_CENTRAL_NERVOUS_SYSTEM	Hs 683	ATCC
HS688AT_SKIN	Hs 688(A).T	ATCC
HS695T_SKIN	Hs 695T	ATCC
HS698T_LARGE_INTESTINE	Hs 698.T	ATCC
HS706T_BONE	Hs 706.T	ATCC
HS729_SOFT_TISSUE	Hs 729	ATCC
HS737T_BONE	Hs 737.T	ATCC
HS739T_BREAST	Hs 739.T	ATCC
HS742T_BREAST	Hs 742.T	ATCC
HS746T_STOMACH	Hs 746T	ATCC
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 751.T	ATCC
HS766T_PANCREAS	Hs 766T	ATCC
HS819T_BONE	Hs 819.T	ATCC
HS821T_BONE	Hs 821.T	ATCC
HS822T_BONE	Hs 822.T	ATCC
HS834T_SKIN	Hs 834.T	ATCC
HS839T_SKIN	Hs 839.T	ATCC
HS840T_UPPER_AERODIGESTIVE_TRACT	Hs 840.T	ATCC
HS852T_SKIN	Hs 852.T	ATCC
HS863T_BONE	Hs 863.T	ATCC
HS870T_BONE	Hs 870.T	ATCC
HS888T_BONE	Hs 888.T	ATCC
HS895T_SKIN	Hs 895.T	ATCC
HS934T_SKIN	Hs 934.T	ATCC
HS936T_SKIN	Hs 936.T	ATCC
HS939T_SKIN	Hs 939.T	ATCC
HS940T_SKIN	Hs 940.T	ATCC
HS944T_SKIN	Hs 944.T	ATCC
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC-2	HSRRB
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC-3	HSRRB
HSC4_UPPER_AERODIGESTIVE_TRACT	HSC-4	HSRRB
HT1080_SOFT_TISSUE	HT-1080	ATCC
HT115_LARGE_INTESTINE	HT115	ECACC
HT1197_URINARY_TRACT	HT-1197	ATCC
HT1376_URINARY_TRACT	HT-1376	ATCC
HT144_SKIN	HT-144	ATCC
HT29_LARGE_INTESTINE	HT-29	ATCC
HT55_LARGE_INTESTINE	HT55	ECACC
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	ATCC
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	ECACC
HUCCT1_BILIARY_TRACT	HuCCT1	HSRRB
HUG1N_STOMACH	HuG1-N	RIKEN
HUH1_LIVER	huH-1	HSRRB
HUH28_BILIARY_TRACT	HuH28	HSRRB
HUH6_LIVER	HuH-6	RIKEN
HUH7_LIVER	HuH-7	HSRRB
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuNS1	ATCC
HUPT3_PANCREAS	HUP-T3	DSMZ
HUPT4_PANCREAS	HUP-T4	DSMZ
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 102	ATCC
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 78	ATCC
HUTU80_SMALL_INTESTINE	HuTu 80	ATCC
IALM_LUNG	IA-LM	RIKEN
IGR1_SKIN	IGR-1	DSMZ
IGR37_SKIN	IGR-37	DSMZ
IGR39_SKIN	IGR-39	DSMZ
IGROV1_OVARY	IGROV1	NCI/DCTD
IM95_STOMACH	IM95	HSRRB
IMR32_AUTONOMIC_GANGLIA	IMR-32	ATCC
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	IOMM-Lee	Academic Lab / Achilles
IPC298_SKIN	IPC-298	DSMZ
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Ishikawa (Heraklio) 02 ER-	ECACC
ISTMES1_PLEURA	IST-MES1	ICLC
ISTMES2_PLEURA	IST-MES2	ICLC
J82_URINARY_TRACT	J82	ATCC
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JeKo-1	DSMZ
JHESOAD1_OESOPHAGUS	JH-EsoAd1	Academic Lab / Achilles
JHH1_LIVER	JHH-1	HSRRB
JHH2_LIVER	JHH-2	HSRRB
JHH4_LIVER	JHH-4	HSRRB
JHH5_LIVER	JHH-5	HSRRB
JHH6_LIVER	JHH-6	HSRRB
JHH7_LIVER	JHH-7	HSRRB
JHOC5_OVARY	JHOC-5	RIKEN
JHOM1_OVARY	JHOM-1	RIKEN
JHOM2B_OVARY	JHOM-2B	RIKEN
JHOS2_OVARY	JHOS-2	RIKEN
JHOS4_OVARY	JHOS-4	RIKEN
JHUEM1_ENDOMETRIUM	JHUEM-1	RIKEN
JHUEM2_ENDOMETRIUM	JHUEM-2	RIKEN
JHUEM3_ENDOMETRIUM	JHUEM-3	RIKEN
JHUEM7_ENDOMETRIUM	JHUEM-7	RIKEN
JIMT1_BREAST	JIMT-1	DSMZ
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JJN-3	DSMZ
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK-1	DSMZ
JL1_PLEURA	JL-1	DSMZ
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	ATCC
JMSU1_URINARY_TRACT	JMSU-1	DSMZ
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURKAT	DSMZ
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURL-MK1	DSMZ
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-2	DSMZ
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-3	DSMZ
K029AX_SKIN	K029AX	Academic Lab
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K-562	ATCC
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS-1	HSRRB
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-299	DSMZ
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-422	DSMZ
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-620	DSMZ
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI-1	DSMZ
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI-2	DSMZ
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Kasumi-6	ATCC
KATOIII_STOMACH	KATO III	ATCC
KCIMOH1_PANCREAS	KCI-MOH1	DSMZ
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KCL-22	DSMZ
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-37	DSMZ
KE39_STOMACH	KE-39	RIKEN
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-97	RIKEN
KELLY_AUTONOMIC_GANGLIA	KELLY	DSMZ
KG1C_CENTRAL_NERVOUS_SYSTEM	KG-1-C	HSRRB
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	ATCC
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM-1B	HSRRB
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Ki-JK	HSRRB
KLE_ENDOMETRIUM	KLE	ATCC
KLM1_PANCREAS	KLM-1	RIKEN
KM12_LARGE_INTESTINE	KM12	Academic Lab
KMBC2_URINARY_TRACT	KMBC-2	HSRRB
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM-H2	DSMZ
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM-1	HSRRB
KMRC1_KIDNEY	KMRC-1	HSRRB
KMRC20_KIDNEY	KMRC-20	HSRRB
KMRC2_KIDNEY	KMRC-2	HSRRB
KMRC3_KIDNEY	KMRC-3	HSRRB
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-11	HSRRB
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-12-BM	DSMZ
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-18	
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-20	HSRRB
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-21BM	HSRRB
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-26	HSRRB
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-27	HSRRB
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-28BM	HSRRB
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-34	HSRRB
KNS42_CENTRAL_NERVOUS_SYSTEM	KNS-42	HSRRB
KNS60_CENTRAL_NERVOUS_SYSTEM	KNS-60	HSRRB
KNS62_LUNG	KNS-62	HSRRB
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS-81	HSRRB
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52	HSRRB
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN-8	DSMZ
KP1NL_PANCREAS	KP-1NL	HSRRB
KP1N_PANCREAS	KP-1N	HSRRB
KP2_PANCREAS	KP-2	HSRRB
KP3_PANCREAS	KP-3	HSRRB
KP4_PANCREAS	KP4	RIKEN
KPL1_BREAST	KPL-1	DSMZ
KPNRTBM1_AUTONOMIC_GANGLIA	KP-N-RT-BM-1	HSRRB
KPNSI9S_AUTONOMIC_GANGLIA	KP-N-SI9s	HSRRB
KPNYN_AUTONOMIC_GANGLIA	KP-N-YN	HSRRB
KS1_CENTRAL_NERVOUS_SYSTEM	KS-1	HSRRB
KU1919_URINARY_TRACT	KU-19-19	DSMZ
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KU812	ATCC
KURAMOCHI_OVARY	KURAMOCHI	HSRRB
KYM1_SOFT_TISSUE	KYM-1	HSRRB
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KYO-1	DSMZ
KYSE140_OESOPHAGUS	KYSE-140	DSMZ
KYSE150_OESOPHAGUS	KYSE-150	DSMZ
KYSE180_OESOPHAGUS	KYSE-180	DSMZ
