#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#sampleId	subjectId	cellLineOrigin
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-10	DSMZ
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-1	DSMZ
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-4	DSMZ
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-5	DSMZ
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-6	DSMZ
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-8	DSMZ
SUIT2_PANCREAS	SUIT-2	HSRRB
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-B15	ATCC
SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-HD1	DSMZ
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-M2	DSMZ
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-T11	DSMZ
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-T1	ATCC
SW1088_CENTRAL_NERVOUS_SYSTEM	SW 1088	ATCC
SW1116_LARGE_INTESTINE	SW1116	ATCC
SW1271_LUNG	SW 1271	ATCC
SW1353_BONE	SW 1353	ATCC
SW1417_LARGE_INTESTINE	SW1417	ATCC
SW1463_LARGE_INTESTINE	SW1463	ATCC
SW1573_LUNG	SW 1573	ATCC
SW1710_URINARY_TRACT	SW-1710	DSMZ
SW1783_CENTRAL_NERVOUS_SYSTEM	SW 1783	ATCC
SW1990_PANCREAS	SW 1990	ATCC
SW403_LARGE_INTESTINE	SW403	ATCC
SW480_LARGE_INTESTINE	SW480	ATCC
SW48_LARGE_INTESTINE	SW48	ATCC
SW579_THYROID	SW579	ATCC
SW620_LARGE_INTESTINE	SW620	ATCC
SW780_URINARY_TRACT	SW 780	ATCC
SW837_LARGE_INTESTINE	SW837	ATCC
SW900_LUNG	SW 900	ATCC
SW948_LARGE_INTESTINE	SW948	ATCC
T173_BONE	T1-73	ATCC
T24_URINARY_TRACT	T24	ATCC
T3M10_LUNG	T3M-10	RIKEN
T3M4_PANCREAS	T3M-4	RIKEN
T47D_BREAST	T-47D	ATCC
T84_LARGE_INTESTINE	T84	ATCC
T98G_CENTRAL_NERVOUS_SYSTEM	T98G	ATCC
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TALL-1	DSMZ
TC32_BONE	TC-32	Academic Lab / Achilles
TC71_BONE	TC-71	DSMZ
TCCPAN2_PANCREAS	TCC-PAN2	HSRRB
TCCSUP_URINARY_TRACT	TCCSUP	ATCC
TE10_OESOPHAGUS	TE-10	RIKEN
TE11_OESOPHAGUS	TE-11	RIKEN
TE125T_SOFT_TISSUE	TE 125.T	ATCC
TE14_OESOPHAGUS	TE-14	RIKEN
TE159T_SOFT_TISSUE	TE 159.T	ATCC
TE15_OESOPHAGUS	TE-15	RIKEN
TE1_OESOPHAGUS	TE-1	RIKEN
TE441T_SOFT_TISSUE	TE 441.T	ATCC
TE4_OESOPHAGUS	TE-4	RIKEN
TE5_OESOPHAGUS	TE-5	RIKEN
TE617T_SOFT_TISSUE	TE 617.T	ATCC
TE6_OESOPHAGUS	TE-6	RIKEN
TE8_OESOPHAGUS	TE-8	RIKEN
TE9_OESOPHAGUS	TE-9	RIKEN
TEN_ENDOMETRIUM	TEN	RIKEN
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF-1	ATCC
TGBC11TKB_STOMACH	TGBC11TKB	RIKEN
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP-1	ATCC
TIG3TD_LUNG	TIG-3 TD	Academic Lab / Achilles
TM31_CENTRAL_NERVOUS_SYSTEM	TM-31	RIKEN
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TO 175.T	ATCC
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Toledo	ATCC
TOV112D_OVARY	TOV-112D	ATCC
TOV21G_OVARY	TOV-21G	ATCC
TT2609C02_THYROID	TT2609-C02	DSMZ
TT_OESOPHAGUS	T.T	HSRRB
TT_THYROID	TT	ATCC
TUHR10TKB_KIDNEY	TUHR10TKB	RIKEN
TUHR14TKB_KIDNEY	TUHR14TKB	RIKEN
TUHR4TKB_KIDNEY	TUHR4TKB	RIKEN
TYKNU_OVARY	TYK-nu	HSRRB
U118MG_CENTRAL_NERVOUS_SYSTEM	U-118 MG	ATCC
U138MG_CENTRAL_NERVOUS_SYSTEM	U-138 MG	ATCC
U178_CENTRAL_NERVOUS_SYSTEM	U-178	Academic Lab / Achilles
U251MG_CENTRAL_NERVOUS_SYSTEM	U-251 MG	HSRRB
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1	ATCC
U2OS_BONE	U-2 OS	ATCC
U343_CENTRAL_NERVOUS_SYSTEM	U343	Academic Lab / Achilles
U87MG_CENTRAL_NERVOUS_SYSTEM	U-87 MG	ATCC
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U-937	ATCC
UACC257_SKIN	UACC-257	NCI/DCTD
UACC62_SKIN	UACC-62	NCI/DCTD
UACC812_BREAST	UACC-812	ATCC
UACC893_BREAST	UACC-893	ATCC
UBLC1_URINARY_TRACT	U-BLC1	ECACC
UMRC2_KIDNEY	UMRC2	
UMRC6_KIDNEY	UMRC6	
UMUC1_URINARY_TRACT	UM-UC-1	ECACC
UMUC3_URINARY_TRACT	UM-UC-3	ATCC
UOK101_KIDNEY	UOK101	Academic Lab / Achilles
UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	UT-7	DSMZ
VCAP_PROSTATE	VCaP	ATCC
VMCUB1_URINARY_TRACT	VM-CUB1	DSMZ
VMRCLCD_LUNG	VMRC-LCD	HSRRB
VMRCLCP_LUNG	VMRC-LCP	HSRRB
VMRCRCW_KIDNEY	VMRC-RCW	RIKEN
VMRCRCZ_KIDNEY	VMRC-RCZ	HSRRB
WM115_SKIN	WM-115	ATCC
WM1799_SKIN	WM1799	Academic Lab
WM2664_SKIN	WM-266-4	ATCC
WM793_SKIN	WM-793	Academic Lab
WM88_SKIN	WM-88	Academic Lab
WM983B_SKIN	WM-983B	Academic Lab
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WSU-DLCL2	DSMZ
YAPC_PANCREAS	YAPC	DSMZ
YD10B_UPPER_AERODIGESTIVE_TRACT	YD-10B	KCLB
YD15_SALIVARY_GLAND	YD-15	KCLB
YD38_UPPER_AERODIGESTIVE_TRACT	YD-38	KCLB
YD8_UPPER_AERODIGESTIVE_TRACT	YD-8	KCLB
YH13_CENTRAL_NERVOUS_SYSTEM	YH-13	HSRRB
YKG1_CENTRAL_NERVOUS_SYSTEM	YKG1	HSRRB
YMB1_BREAST	YMB-1	HSRRB
ZR751_BREAST	ZR-75-1	ATCC
ZR7530_BREAST	ZR-75-30	ATCC
